dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
vehkaoja_dogs,dt,True,False,False,1,panting_standing,0.5361410587814975,0.4921559700283203,0.5887598545132285,431092
vehkaoja_dogs,dt,True,False,False,1,shaking,0.9135650569055674,0.9571823204419889,0.873749684794486,30282
vehkaoja_dogs,dt,True,False,False,1,sitting,0.6298089199080773,0.660525992791868,0.601821823246546,368552
vehkaoja_dogs,dt,True,False,False,1,sniffing,0.9711311016731877,0.9774747887279696,0.9648692231358095,800450
vehkaoja_dogs,dt,True,False,False,1,standing,0.4797495779303058,0.42305077490589077,0.5539984667254697,366983
vehkaoja_dogs,dt,True,False,False,1,trotting,0.9658695917975232,0.964639592491801,0.9671027318199308,602345
vehkaoja_dogs,dt,True,False,False,1,walking,0.9174092841749666,0.93876091426528,0.8970073179760244,607440
vehkaoja_dogs,dt,True,False,False,2,galloping,0.8663512041237784,0.8653521309771309,0.8673525868524729,144213
vehkaoja_dogs,dt,True,False,False,2,lying_chest,0.46546406499222087,0.38788520071586263,0.5818335015235091,445144
vehkaoja_dogs,dt,True,False,False,2,panting_lying_chest,0.6299262177303476,0.6444616960126854,0.616031956549198,456019
vehkaoja_dogs,dt,True,False,False,2,panting_sitting,0.7190508677394994,0.7395425278040434,0.6996641793693956,512352
vehkaoja_dogs,dt,True,False,False,2,panting_standing,0.4294844067649985,0.5275482825492124,0.36216329582550655,429752
vehkaoja_dogs,dt,True,False,False,2,shaking,0.925533295833153,0.9579041648007165,0.8952787543947764,30233
vehkaoja_dogs,dt,True,False,False,2,sitting,0.671449810660022,0.6890876032706356,0.6546923931710273,367925
vehkaoja_dogs,dt,True,False,False,2,sniffing,0.9791781431024048,0.9726404538494758,0.9858043144140425,825131
vehkaoja_dogs,dt,True,False,False,2,standing,0.39714678220437494,0.3849904730684915,0.4100958075991358,396650
vehkaoja_dogs,dt,True,False,False,2,trotting,0.9314196104720064,0.9523856153149404,0.9113568215892054,645815
vehkaoja_dogs,dt,True,False,False,2,walking,0.9317299344850785,0.9343406916397472,0.9291337267564859,603415
vehkaoja_dogs,dt,True,False,False,3,galloping,0.9241895945308098,0.9513793103448276,0.8985108209728514,141149
vehkaoja_dogs,dt,True,False,False,3,lying_chest,0.3921141246182359,0.35514339078421636,0.4376766411235104,478569
vehkaoja_dogs,dt,True,False,False,3,panting_lying_chest,0.6793543133164511,0.773471634208298,0.6056569621344224,431868
vehkaoja_dogs,dt,True,False,False,3,panting_sitting,0.7726472667464978,0.8038319524495677,0.7437918391155801,509197
vehkaoja_dogs,dt,True,False,False,3,panting_standing,0.6770796122245353,0.6792466819900645,0.674926326129666,417258
vehkaoja_dogs,dt,True,False,False,3,shaking,0.9283010933557612,0.9724669603524229,0.8879726468222043,37207
vehkaoja_dogs,dt,True,False,False,3,sitting,0.6637606575005761,0.6013709434224872,0.7405942008284531,396905
vehkaoja_dogs,dt,True,False,False,3,sniffing,0.986812119050022,0.9827319431004904,0.9909263169802783,814026
vehkaoja_dogs,dt,True,False,False,3,standing,0.5545196332792008,0.5216433353621425,0.5918186965708683,415883
vehkaoja_dogs,dt,True,False,False,3,trotting,0.9716148184419519,0.9570664592640826,0.9866123037527813,612985
vehkaoja_dogs,dt,True,False,False,3,walking,0.9582234905684522,0.9646179016798928,0.9519132977370963,625715
vehkaoja_dogs,dt,True,False,False,4,galloping,0.9241361429991215,0.9189344027499284,0.9293971086710896,140409
vehkaoja_dogs,dt,True,False,False,4,lying_chest,0.5549683970572998,0.5767270464932641,0.5347918700630159,412007
vehkaoja_dogs,dt,True,False,False,4,panting_lying_chest,0.6140727166715256,0.6515610154886321,0.5806635817662695,481121
vehkaoja_dogs,dt,True,False,False,4,panting_sitting,0.7672433792017191,0.8020234164936524,0.7353544652400159,525022
vehkaoja_dogs,dt,True,False,False,4,panting_standing,0.5632361938673708,0.4806396989651929,0.6801112841606433,464295
vehkaoja_dogs,dt,True,False,False,4,shaking,0.8751119870990861,0.9376079861777692,0.8204266756257349,36226
vehkaoja_dogs,dt,True,False,False,4,sitting,0.6692729186723411,0.5840209787464571,0.7836681802378871,371996
vehkaoja_dogs,dt,True,False,False,4,sniffing,0.9779185566937957,0.9859010099008967,0.970064326888268,810716
vehkaoja_dogs,dt,True,False,False,4,standing,0.5460901885943347,0.6337356621984951,0.47974199783289895,351704
vehkaoja_dogs,dt,True,False,False,4,trotting,0.9630700064226075,0.9628996219194957,0.9632404512352598,621320
vehkaoja_dogs,dt,True,False,False,4,walking,0.9509185154756891,0.9350947219959057,0.967287072054845,641837
vehkaoja_dogs,rf,True,False,False,1,galloping,0.9558674929083627,0.958071995118975,0.9536731124283354,133762
vehkaoja_dogs,rf,True,False,False,1,lying_chest,0.59310976391509,0.5916511978017159,0.5945755392513274,411050
vehkaoja_dogs,rf,True,False,False,1,panting_lying_chest,0.6283260318716763,0.6206155920017974,0.63623046875,474147
vehkaoja_dogs,rf,True,False,False,1,panting_sitting,0.7430670167316117,0.7451255902888432,0.741019786362032,514368
vehkaoja_dogs,rf,True,False,False,1,panting_standing,0.7554955096677478,0.757321089003293,0.7536787105588686,431092
vehkaoja_dogs,rf,True,False,False,1,shaking,0.9451498661138464,0.9720174113884694,0.9197276624359082,30282
vehkaoja_dogs,rf,True,False,False,1,sitting,0.7470794528183571,0.8709673052189806,0.6540467452192389,368552
vehkaoja_dogs,rf,True,False,False,1,sniffing,0.9815344167416582,0.9773781494887023,0.9857261837255458,800450
vehkaoja_dogs,rf,True,False,False,1,standing,0.6088352733251448,0.571242774566474,0.6517241095054778,366983
vehkaoja_dogs,rf,True,False,False,1,trotting,0.978609485620837,0.9769350987375307,0.9802896218825422,602345
vehkaoja_dogs,rf,True,False,False,1,walking,0.9717270167507068,0.9619634366838545,0.9816908226316239,607440
vehkaoja_dogs,rf,True,False,False,2,galloping,0.9264723198815751,0.9583768358042737,0.8966235795917038,144213
vehkaoja_dogs,rf,True,False,False,2,lying_chest,0.6014550950084465,0.504406104844061,0.7447460981512144,445144
vehkaoja_dogs,rf,True,False,False,2,panting_lying_chest,0.780009056852332,0.8150174641683443,0.7478842996084375,456019
