dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,dt,True,False,False,2,6,0.9213304755283874,0.9258153066721632,0.9206321272106525
HAR,dt,True,False,False,2,7,0.7499456956276315,0.7631843834958757,0.7642350178856101
HAR,dt,True,False,False,2,8,0.8924931908928809,0.91971414645275,0.8958516127963541
HAR,dt,True,False,False,2,9,0.950952723554896,0.9550156954873134,0.9500516477355592
HAR,dt,True,False,False,2,10,0.7276644229528504,0.8058395356686034,0.7715024138376819
HAR,dt,True,False,False,2,11,0.8468256015014627,0.898646559332846,0.8553289453866859
HAR,dt,True,False,False,3,12,0.9011194856689606,0.9057305788832468,0.9021394360029742
HAR,dt,True,False,False,3,13,0.8395586469600138,0.8605093197257617,0.8452909328945611
HAR,dt,True,False,False,3,14,0.9087733237817693,0.9206826108731562,0.9057850785243494
HAR,dt,True,False,False,3,15,0.709004014945083,0.7981344339653879,0.7262645354348333
HAR,dt,True,False,False,3,16,0.9669712218685961,0.9682414461611356,0.966678478876562
HAR,dt,True,False,False,3,17,0.8427931950411512,0.8660434023733624,0.8485815407759855
HAR,dt,True,False,False,4,18,0.8517137195492244,0.883406239305213,0.8645866739898714
HAR,dt,True,False,False,4,19,0.8283225875891947,0.8397471720923093,0.8318675104954928
HAR,dt,True,False,False,4,20,0.9168155211313332,0.9205260386113531,0.919161670299184
HAR,dt,True,False,False,4,21,0.9080417172077656,0.9133476199355712,0.9062124596649156
HAR,dt,True,False,False,4,22,0.6438217683668195,0.7015919141337852,0.668777194332767
HAR,dt,True,False,False,4,23,0.9213993167990404,0.9241874429714357,0.9219010536400972
HAR,rf,True,False,False,1,0,0.9402379126895664,0.960687564499484,0.9388052208835341
HAR,rf,True,False,False,1,1,0.873711610647129,0.899934905742248,0.8792943264164803
HAR,rf,True,False,False,1,2,0.9871334587955856,0.9877848407059466,0.9870515066424007
HAR,rf,True,False,False,1,3,0.9793117036187805,0.9837256149279051,0.9773798997936929
HAR,rf,True,False,False,1,4,0.9805518295010548,0.9815100949250283,0.9811613487090027
HAR,rf,True,False,False,1,5,0.9980041755742448,0.9981196581196582,0.9979125154189202
HAR,rf,True,False,False,2,6,0.978974357393485,0.9821997339275685,0.9770449273447662
HAR,rf,True,False,False,2,7,0.8219190453184965,0.8648825121888034,0.822990959040279
HAR,rf,True,False,False,2,8,0.9332187082741091,0.9488612832615283,0.9333652599739226
HAR,rf,True,False,False,2,9,0.8938748826522316,0.9370788281503374,0.9026216702151743
HAR,rf,True,False,False,2,10,0.8792771670294401,0.9225289102592101,0.8863499452583722
HAR,rf,True,False,False,2,11,0.9198072700339587,0.9478211031643223,0.9223987526925385
HAR,rf,True,False,False,3,12,0.983223519168098,0.983504436335188,0.983885416352662
HAR,rf,True,False,False,3,13,0.913665452633342,0.9251993013375507,0.9142163514500184
HAR,rf,True,False,False,3,14,0.9187489928322559,0.9349036133656944,0.9193403953362608
HAR,rf,True,False,False,3,15,0.7401935620389076,0.8643263071050881,0.7974459503407364
