dataset,experiment,fig4,fig5d,fig5e,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std
baglione_crows,RNN_low_data_nogyr,False,False,True,0.9730118511869759,0.027049929567244634,0.9725207260302493,0.02790407174733094,0.9758617367696409,0.02540675142404151
baglione_crows,wavelet_RNN_low_data_nogyr,False,False,True,0.9604751868901023,0.061652867381620374,0.9637941880743164,0.05011962502205692,0.9659992864265128,0.05312040195399604
baglione_crows,CRNN_low_data,False,False,True,0.816253227879149,0.2793418480955245,0.8945457156379248,0.13227737958179908,0.8695828488192017,0.17867618367720203
baglione_crows,rf_low_data,False,False,True,0.9083337310537531,0.13716435441981387,0.9356688279431911,0.0861295485241099,0.9225747120539372,0.11670692047303582
desantis_rattlesnakes,harnet_nogyr,True,True,False,0.8951129271775817,0.14792946553237185,0.9064845094560707,0.15153269745686926,0.9524660874640913,0.07917226941910992
desantis_rattlesnakes,CRNN,True,True,False,0.9424328334247445,0.09017620257654269,0.9428640615217428,0.10815640093931393,0.9621489008510489,0.0480707122951358
desantis_rattlesnakes,CNN,True,False,False,0.8058552505808194,0.20477860931814065,0.7968069449174751,0.2120511730696491,0.9751190635543514,0.029033152572517387
desantis_rattlesnakes,dt,True,False,False,0.8191535366004186,0.2088696728316062,0.8563713886129989,0.17665128245944636,0.9143614205029165,0.13787390515203465
desantis_rattlesnakes,rf,True,True,False,0.8689775518367959,0.16682649922071915,0.882384363741504,0.16286935391519797,0.9373163217566486,0.10632265480928235
desantis_rattlesnakes,svm,True,False,False,0.36932058686386576,0.14533666160098327,0.5198981030773606,0.06002912466109375,0.6431912501015254,0.19554193306217788
desantis_rattlesnakes,wavelet_dt,True,False,False,0.6060938947672685,0.15039997368638414,0.6424292010574185,0.15150816370439052,0.791874508804743,0.15804012126863567
desantis_rattlesnakes,wavelet_rf,True,False,False,0.6130560921725162,0.18053032560881793,0.6874427068835252,0.17357621233635626,0.7744013780796044,0.17848802466348407
desantis_rattlesnakes,wavelet_svm,True,False,False,0.5789234328056734,0.16615541755741392,0.6299771043685378,0.15228048280687922,0.816700095771948,0.1771252751257591
desantis_rattlesnakes,harnet_unfrozen_nogyr,False,True,False,0.47668329369204604,0.30086723333241716,0.8463244757401347,0.17450636227169208,0.6,0.2
desantis_rattlesnakes,harnet_random_nogyr,False,True,False,0.4408922736555751,0.06717487620527415,0.5592725995970091,0.09720365804391189,0.6798358868725078,0.1835275501968982
desantis_rattlesnakes,RNN_nogyr,False,True,False,0.8292510885618419,0.205632954030473,0.8762004568303672,0.1729615047024303,0.8656687560679656,0.1744319165352409
desantis_rattlesnakes,harnet_low_data_nogyr,False,False,True,0.8424089289139645,0.22347014558571998,0.8641891052977547,0.15915171969187542,0.9420102188643558,0.14396508212170353
desantis_rattlesnakes,harnet_random_low_data_nogyr,False,False,True,0.4430364022218291,0.23040831045169088,0.7153560452120049,0.21793373602574284,0.6088990815213121,0.1868092732674194
desantis_rattlesnakes,harnet_unfrozen_low_data_nogyr,False,False,True,0.4442319890156841,0.23092892370148463,0.7486346992750125,0.20105600970784263,0.6087071405788577,0.19622815043954883
desantis_rattlesnakes,RNN_low_data_nogyr,False,False,True,0.3899648316069744,0.15894514812934363,0.559642814742219,0.15718090161801898,0.6229612467595023,0.23484588005260287
desantis_rattlesnakes,wavelet_RNN_low_data_nogyr,False,False,True,0.6906293083540883,0.26036224550545856,0.8220593564013253,0.18551296886612717,0.7641332057972844,0.22504362808237788
desantis_rattlesnakes,CRNN_low_data,False,False,True,0.6855672389773646,0.24053771940994426,0.7466479143267298,0.21121017856304844,0.8199047046512249,0.22625740128454924
desantis_rattlesnakes,rf_low_data,False,False,True,0.8028288502598256,0.19468276179173716,0.8135187287270886,0.18759827468760995,0.9254783706035749,0.12144758217776952
friedlaender_whales,harnet_nogyr,True,True,False,0.6923005823560047,0.1900272931334719,0.7025176859289041,0.16148401026141349,0.7047697929179177,0.20209478519377266
friedlaender_whales,CRNN,True,True,False,0.6629821389760276,0.18606256585609887,0.6753159937231376,0.14266215110021088,0.7042751058479612,0.19066697692819268
friedlaender_whales,CNN,True,False,False,0.5976223402196426,0.1365226663754204,0.595238358018209,0.10811094324154458,0.6620142924967042,0.14241825535149497
friedlaender_whales,dt,True,False,False,0.5491410446972882,0.10912243479294238,0.5626500846950676,0.10820450247268264,0.5643682316690548,0.11217313057893909
friedlaender_whales,rf,True,True,False,0.6129533038965216,0.15035257251440554,0.6693229984614936,0.13149335064042592,0.6136628326826725,0.1398487498689119
friedlaender_whales,svm,True,False,False,0.43908743603626804,0.11173743744018713,0.55407069880057,0.09011441676711124,0.5121309858823081,0.08430294474703472
friedlaender_whales,wavelet_dt,True,False,False,0.4292280170098049,0.05450546066703423,0.44634030205519964,0.05551165201096226,0.4429838919378777,0.0491509895609221
friedlaender_whales,wavelet_rf,True,False,False,0.47066597473828703,0.08469944880697426,0.6491937867416907,0.08930934100486672,0.4902482528343432,0.07480004089777449
friedlaender_whales,wavelet_svm,True,False,False,0.47090392936528636,0.09733371768921689,0.4826429299735697,0.09499233122913849,0.4924218409104197,0.1029317290587762
friedlaender_whales,harnet_unfrozen_nogyr,False,True,False,0.7116082676503329,0.1437856220109315,0.7100681501021171,0.12523426906065518,0.7346257989120398,0.14878026356809346
friedlaender_whales,harnet_random_nogyr,False,True,False,0.561132423238757,0.10072328406378264,0.5738374489993848,0.07619745098702217,0.5974728636010488,0.11333072343536373
