dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
vehkaoja_dogs,harnet_nogyr,True,True,False,4,30,0.7101421312604236,0.7471644259200846,0.8163691895890632
vehkaoja_dogs,harnet_nogyr,True,True,False,4,31,0.8778499155430246,0.8751553340956787,0.8855774661507653
vehkaoja_dogs,harnet_nogyr,True,True,False,4,32,0.7400740107886314,0.772687308011523,0.8952896781404902
vehkaoja_dogs,harnet_nogyr,True,True,False,4,33,0.8129455385509883,0.8626372243643762,0.8153739457663846
vehkaoja_dogs,harnet_nogyr,True,True,False,4,34,0.8410906053807491,0.8370775565533592,0.8498672333835128
vehkaoja_dogs,harnet_nogyr,True,True,False,4,35,0.8566057207960415,0.8471958049040599,0.8741147404411603
vehkaoja_dogs,CRNN,True,False,False,1,0,0.9157453804962724,0.9027752835744779,0.9517397642372647
vehkaoja_dogs,CRNN,True,False,False,1,1,0.8737410093579977,0.8747861514389569,0.8850801601301108
vehkaoja_dogs,CRNN,True,False,False,1,2,0.6935232869638376,0.7719139859117754,0.6871130017718298
vehkaoja_dogs,CRNN,True,False,False,1,3,0.7396401060177493,0.7544496047196421,0.756546982720441
vehkaoja_dogs,CRNN,True,False,False,1,4,0.7898848986340465,0.8212848599519404,0.8019412518229271
vehkaoja_dogs,CRNN,True,False,False,1,5,0.6481055731185602,0.6487546938991925,0.7025371638472219
vehkaoja_dogs,CRNN,True,False,False,1,6,0.6601793884132345,0.6981841550770652,0.807165409173044
vehkaoja_dogs,CRNN,True,False,False,1,7,0.5445159259338875,0.5561107329667465,0.6000157765104717
vehkaoja_dogs,CRNN,True,False,False,1,8,0.7183659883265429,0.762606784890817,0.7581346742856248
vehkaoja_dogs,CRNN,True,False,False,2,9,0.6353790065582712,0.7040171113648064,0.6634503314196495
vehkaoja_dogs,CRNN,True,False,False,2,10,0.8150172822361632,0.8363778536755312,0.8287578749620789
vehkaoja_dogs,CRNN,True,False,False,2,11,0.6886781139911051,0.7245994941711549,0.8036676944312695
