dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
HAR,dt,True,False,False,2,WALKING_DOWNSTAIRS,0.692356112646761,0.862471021410064,0.5782928724911992,85902
HAR,dt,True,False,False,2,WALKING_UPSTAIRS,0.8561414031602032,0.7731735391698829,0.9590559778272372,92711
HAR,dt,True,False,False,3,LAYING,0.9825275782927371,0.9665695557174071,0.99902137910268,110177
HAR,dt,True,False,False,3,SITTING,0.8460405362570156,0.7993446550630682,0.8985306348766288,101308
HAR,dt,True,False,False,3,STANDING,0.8474541500841094,0.9263578059828677,0.7809368974252334,111536
HAR,dt,True,False,False,3,WALKING,0.8822744014732965,0.9652931694539593,0.8124046125148381,98376
HAR,dt,True,False,False,3,WALKING_DOWNSTAIRS,0.8210591051857059,0.7724192081990248,0.8762364633631804,86444
HAR,dt,True,False,False,3,WALKING_UPSTAIRS,0.8542396037913073,0.8364548494983277,0.8727970685744199,93600
HAR,dt,True,False,False,4,LAYING,0.9366022615368943,0.8902875956231239,0.9880001432818712,108828
HAR,dt,True,False,False,4,SITTING,0.8325686403029641,0.7664510073413563,0.9111704459410991,101464
HAR,dt,True,False,False,4,STANDING,0.8059346206726723,0.8779059370529327,0.7448697037514699,111622
HAR,dt,True,False,False,4,WALKING,0.880796825524069,0.8730284851614953,0.8887046548307518,97237
HAR,dt,True,False,False,4,WALKING_DOWNSTAIRS,0.874401723942384,0.8778466022955,0.8709837769442813,85646
HAR,dt,True,False,False,4,WALKING_UPSTAIRS,0.753760672177802,0.8302318638670515,0.6901886168100596,92348
HAR,rf,True,False,False,1,LAYING,0.9998130980861244,0.9996262660238442,1.0,109998
HAR,rf,True,False,False,1,SITTING,0.9365717954205007,0.985276902296263,0.8924551386623165,102037
HAR,rf,True,False,False,1,STANDING,0.9489809922459342,0.9129588064430948,0.9879625660808687,109989
HAR,rf,True,False,False,1,WALKING,0.9532563964931114,1.0,0.910687577453955,98563
HAR,rf,True,False,False,1,WALKING_DOWNSTAIRS,0.9466602594906295,0.9004440188055024,0.9978773698683004,87046
HAR,rf,True,False,False,1,WALKING_UPSTAIRS,0.9945421467556096,0.9979716024340771,0.9911361804995971,94186
